
[h, m] = [3218, 1044]
[h, m] = [1131, 1218]
[h, m] = [2870, 1652]
[h, m] = [697, 1833]
[h, m] = [1965, 2097]
[h, m] = [169, 2128]
[h, m] = [1190, 1442]
[h, m] = [2227, 785]
[h, m] = [1847, 1062]
[h, m] = [1950, 888]
[h, m] = [2021, 1133]
[h, m] = [1705, 572]
[h, m] = [2582, 2010]
[h, m] = [267, 1995]
[h, m] = [2807, 812]
[h, m] = [1450, 2088]
[h, m] = [255, 1992]
[h, m] = [2986, 994]
[h, m] = [1253, 1512]
[h, m] = [1950, 438]
[h, m] = [2327, 1889]
[h, m] = [499, 2103]
[h, m] = [615, 1587]
[h, m] = [3595, 2008]
[h, m] = [194, 2066]
[h, m] = [2377, 311]
[h, m] = [1949, 1638]
[h, m] = [1050, 1512]
[h, m] = [2327, 815]
[h, m] = [1747, 932]
[h, m] = [2210, 1278]
[h, m] = [1401, 1524]
[h, m] = [1718, 1912]
[h, m] = [625, 1838]
[h, m] = [2162, 324]
[h, m] = [2139, 1815]
[h, m] = [671, 1540]
[h, m] = [3514, 1974]
[h, m] = [237, 2055]
[h, m] = [2137, 82]
[h, m] = [2210, 2128]
[h, m] = [91, 2149]
[h, m] = [1223, 1520]
[h, m] = [1978, 458]
[h, m] = [2285, 1827]
[h, m] = [609, 1827]
[h, m] = [2285, 458]
[h, m] = [1978, 1520]
[h, m] = [1223, 2149]
[h, m] = [91, 2128]
[h, m] = [2210, 82]
[h, m] = [2137, 2055]
[h, m] = [237, 1974]
[h, m] = [3514, 1540]
[h, m] = [671, 1815]
[h, m] = [2139, 324]
[h, m] = [2162, 1838]
[h, m] = [625, 1912]
[h, m] = [1718, 1524]
[h, m] = [1401, 1278]
[h, m] = [2210, 932]
[h, m] = [1747, 815]
[h, m] = [2327, 1512]
[h, m] = [1050, 1638]
[h, m] = [1949, 311]
[h, m] = [2377, 2066]
[h, m] = [194, 2008]
[h, m] = [3595, 1587]
[h, m] = [615, 2103]
[h, m] = [499, 1889]
[h, m] = [2327, 438]
[h, m] = [1950, 1512]
[h, m] = [1253, 994]
[h, m] = [2986, 1992]
[h, m] = [255, 2088]
[h, m] = [1450, 812]
[h, m] = [2807, 1995]
[h, m] = [267, 2010]
[h, m] = [2582, 572]
[h, m] = [1705, 1133]
[h, m] = [2021, 888]
[h, m] = [1950, 1062]
[h, m] = [1847, 785]
[h, m] = [2227, 1442]
[h, m] = [1190, 2128]
[h, m] = [169, 2097]
[h, m] = [1965, 1833]
[h, m] = [697, 1652]
[h, m] = [2870, 1218]
[h, m] = [1131, 1044]
[h, m] = [3218, 2174]
[h, m] = [1, 2174]

squarefree equation: 4729494*x^2 + 1 = y^2
squarefree solution = [50549485234315033074477819735540408986340, 109931986732829734979866232821433543901088049, 1]
steps = 91

full equation: 410286423278424*x^2 + 1 = y^2
